url,name,description,star_rating,keyword_rating,total_reviews,km_from_city_center,currency,min_dorm_price,min_privates_price
https://www.hostelworld.com/st/hostels/p/317332/litsa-s-central-studios/,Litsa's Central Studios,"The hostel's proximity to Paddington Station is a major perk, as guests can easily reach other parts of London via the underground, buses, or trains. Oxford Street, one of the city's premier shopping destinations",10,Superb,1,4.32,€,N/A,984039.53
https://www.hostelworld.com/st/hostels/p/291433/onefam-notting-hill/,Onefam Notting Hill,"The perfect place for solo travelers to connect, explore and party! Join the Onefam Family and let us show you the beautiful city of London! What really makes our hostel unique and what has helped us win HostelWorld awards year after year, are our amazing...",9.6,Superb,2374,5.47,€,27.25,83.11
https://www.hostelworld.com/st/hostels/p/303427/urbany-hostel-london/,Urbany Hostel London,"Urbany Hostel London offers a perfect spot to explore the city in a typical Victorian terraced house in Notting Hill. Guests can enjoy free Wi-Fi, luggage storage, towel rental, basic laundry service and CCTV for security.",9.5,Superb,1000,5.39,€,25.45,58.94
https://www.hostelworld.com/st/hostels/p/6981/yha-london-earls-court/,YHA London Earls Court,"YHA London Earl's Court offers a convenient base for exploring London with easy access to Heathrow and Gatwick, as well as nearby attractions like the Royal Albert Hall, Natural History Museum",9.2,Superb,1476,5.14,€,28.87,19.25
https://www.hostelworld.com/st/hostels/p/314563/destinations-hostels-the-gallery/,Destinations Hostels @ The Gallery,"Destinations Hostels @ The Gallery is 10min walk from the Tate Britain museum. 15 mins walk from Big Ben, Westminster Abbey, the London Eye and Buckingham palace and 20mins from Trafalgar square.",9.2,Superb,267,1.72,€,40.41,34.64
https://www.hostelworld.com/st/hostels/p/88047/wombat-s-city-hostel-london/,Wombat's City Hostel London,"Our Wombat's City Hostel is located in the London Borough of Tower Hamlets, right next to the famous Tower Bridge and Tower of London, charming markets, authentic pubs and many other places of historical interest.",9.0,Superb,15537,3.57,€,38.97,38.97
https://www.hostelworld.com/st/hostels/p/64746/barmy-badger-backpackers/,Barmy Badger Backpackers,"The Badger features 2 dogs, complimentary breakfast, 120 megabyte WiFi, USB ports in all rooms, personal lockers with laptop safety, tea and coffee all day, bbq and garden access, luggage storage",9.0,Superb,2005,5.51,€,27.71,46.48
https://www.hostelworld.com/st/hostels/p/6996/yha-london-oxford-street/,YHA London Oxford Street,YHA Oxford Street offers a quiet escape from the city and various rooms with shared facilities. Free Wi-Fi in communal areas and a £5.95 breakfast price are available.,9.0,Fabulous,4671,2.14,€,34.64,28.87
https://www.hostelworld.com/st/hostels/p/14348/palmers-lodge-swiss-cottage/,Palmers Lodge - Swiss Cottage,"Whether you?re a Backpacker or a Budget traveller with excellent taste, you will enjoy Palmers Lodges Swiss Cottage, the grand charm of this historic building",8.8,Fabulous,15800,6.5,€,31.18,28.06
https://www.hostelworld.com/st/hostels/p/98066/park-villa/,Park Villa,"Park Villa offers luxurious accommodation with customised bunk bed pods, grand plantation shutters and oak wood floors. It also features a secure environment with electronic entry systems, cameras and reception.",8.8,Fabulous,925,6.32,€,28.37,43.23
https://www.hostelworld.com/st/hostels/p/515/international-students-house/,International Students  House,"International Students House provides affordable accommodation in Central London, with a variety of room types and a vibrant student centre with free amenities.",8.8,Fabulous,1087,3.26,€,N/A,57.16
https://www.hostelworld.com/st/hostels/p/6977/yha-london-st-pauls/,YHA London St Pauls,"YHA London St Pauls offers a unique experience with its location opposite St. Paul's Cathedral and close to many of London's top attractions. It also has a range of activities like free walking tours, pub crawls, group trips to West End shows, and more.",8.7,Fabulous,2102,1.86,€,34.64,17.32
https://www.hostelworld.com/st/hostels/p/7000/yha-london-thameside/,YHA London Thameside,"High standard of living for the budget traveller. All our rooms have excellent en-suite facilities. We are suitable for all, groups, individuals or a families.",8.7,Fabulous,532,4.93,€,25.4,13.48
https://www.hostelworld.com/st/hostels/p/316723/hostelle-women-only-hostel-london/,Hostelle - women only hostel London,"Near the Hostelle you will find the London Wall at 2.8 km, the Tower Bridge at 3.3 km, the London Eye at 5.7 km, the Trafalgar Square at 5.7 km, the Sra Life Centre London Aquarium at 5.9 km, and the Sky Garden at 2.8 km, among other attractions.",8.7,Fabulous,74,5.07,€,30.02,N/A
https://www.hostelworld.com/st/hostels/p/310274/selina-camden/,Selina Camden,"Selina Camden offers a great guest experience with a 24-hour front desk, flexible cancellations, a no-shows policy, and payment upon arrival. It also features a communal kitchen, a loft with a balcony, and a vegan eatery.",8.7,Fabulous,61,5.47,€,48.5,51.27
https://www.hostelworld.com/st/hostels/p/523/astor-kensington/,Astor Kensington,"Located a short walk from Notting Hill, Hyde Park and Kensington Palace (home of William, Kate, and the Royal Babies!) it is easy to see why so many people fall in love with this neighbourhood.",8.6,Fabulous,6555,4.92,€,20.78,17.9
https://www.hostelworld.com/st/hostels/p/520/astor-museum-inn/,Astor Museum Inn,"This hostel's great location near the British Museum, 24-hour reception, CCTV, storage lockers, free WiFi, dining room, common area, lounge with sofas, free city maps, and discounts",8.4,Fabulous,9391,2.24,€,21.94,46.19
https://www.hostelworld.com/st/hostels/p/297123/publove-the-rose-and-crown/,PubLove @ The Rose & Crown,"Food & culture lovers, assemble! The Rose & Crown is the perfect base to wander the incredible streets of London?s effortlessly cool Southbank.",8.3,Fabulous,214,1.6,€,19.63,19.63
https://www.hostelworld.com/st/hostels/p/58378/the-walrus-hostel/,The Walrus Hostel,"The Walrus Hostel offers a convenient location near many of London's famous landmarks, a fully equipped guest kitchen, a traditional English pub, and a safe environment for those under 18s when accompanied by a guardian.",8.3,Fabulous,4248,0.18,€,25.4,46.19
https://www.hostelworld.com/st/hostels/p/7010/kabannas-london-st-pancras/,Kabannas London St Pancras,We're a four-star hostel at the heart of the bus and underground networks making it easy to travel around the city.,8.3,Fabulous,2937,3.27,€,32.33,57.16
https://www.hostelworld.com/st/hostels/p/504/st-christopher-s-oasis-female-only/,St Christopher's Oasis-Female Only,"The Oasis offers a tranquil and comfortable stay for female travelers, with amenities like cosy pillows, hair-dryers, towels, bed linen and mirrors. Guests can enjoy a continental breakfast and the convenience of being a 2 minute walk from two tube stations.",8.3,Fabulous,784,1.77,€,28.06,47.94
https://www.hostelworld.com/st/hostels/p/63112/the-backpackshack/,The Backpackshack,"The property offers a range of amenities, including a traditional English pub, double and twin rooms, shared rooms, free WIFI, a kitchen, bathrooms with hot water, and a nearby supermarket. It also allows check-in from 9:00 to 24:00.",8.2,Fabulous,788,10.86,€,N/A,23.09
https://www.hostelworld.com/st/hostels/p/502/st-christopher-s-village/,St Christopher's Village,"St Christopher's Inn at The Village in London Bridge offers Japanese-style capsule beds and private rooms with views of the Shard, as well as a continental breakfast, a bar and easy access to two tube stations.",8.2,Fabulous,12599,1.78,€,21.86,33.83
https://www.hostelworld.com/st/hostels/p/25678/astor-hyde-park/,Astor Hyde Park,"Located in the most beautiful and charming neighbourhood in London, Astor Hyde Park is one minute from Hyde Park and surrounded by some of London's greatest museums",8.2,Fabulous,12238,4.34,€,19.63,52.54
https://www.hostelworld.com/st/hostels/p/15204/nx-london-hostel/,NX London Hostel,"NX London Hostel offers a variety of rooms, including small dorms and private rooms. It features free Wi-Fi, complimentary breakfast, lockers, and ear plugs. It also has a pub next door with live music and sports events.",8.2,Fabulous,2030,6.15,€,18.01,15.7
https://www.hostelworld.com/st/hostels/p/527/london-backpackers/,London Backpackers,IMPORTANT NOTICE: ALL BOOKINGS THAT FALL BETWEEN 28TH DEC 2022 - 2ND JAN 2023 WILL BE CHARGED IN ADVA,8.1,Fabulous,4539,11.9,€,19.63,40.41
