url,name,description,star_rating,keyword_rating,total_reviews,km_from_city_center,currency,min_dorm_price,min_privates_price
https://www.hostelworld.com/st/hostels/p/502/st-christopher-s-village/,St Christopher's Village,"St Christopher's Inn at The Village in London Bridge offers Japanese-style capsule beds and private rooms with views of the Shard, as well as a continental breakfast, a bar and easy access to two tube stations.",8.2,Fabulous,12536,1.78,€,23.85,33.87
https://www.hostelworld.com/st/hostels/p/88047/wombat-s-city-hostel-london/,Wombat's City Hostel London,"Our Wombat's City Hostel is located in the London Borough of Tower Hamlets, right next to the famous Tower Bridge and Tower of London, charming markets, authentic pubs and many other places of historical interest.",9.0,Fabulous,15452,3.57,€,39.89,39.89
https://www.hostelworld.com/st/hostels/p/14348/palmers-lodge-swiss-cottage/,Palmers Lodge - Swiss Cottage,"Whether you?re a Backpacker or a Budget traveller with excellent taste, you will enjoy Palmers Lodges Swiss Cottage, the grand charm of this historic building",8.9,Fabulous,15752,6.5,€,31.21,28.09
https://www.hostelworld.com/st/hostels/p/317332/litsa-s-central-studios/,Litsa's Central Studios,"The hostel's proximity to Paddington Station is a major perk, as guests can easily reach other parts of London via the underground, buses, or trains. Oxford Street, one of the city's premier shopping destinations",10,Superb,1,4.32,€,N/A,985234.07
https://www.hostelworld.com/st/hostels/p/291433/onefam-notting-hill/,Onefam Notting Hill,"The perfect place for solo travelers to connect, explore and party! Join the Onefam Family and let us show you the beautiful city of London! What really makes our hostel unique and what has helped us win HostelWorld awards year after year, are our amazing...",9.7,Superb,2337,5.47,€,30.01,83.22
https://www.hostelworld.com/st/hostels/p/303427/urbany-hostel-london/,Urbany Hostel London,"Urbany Hostel London offers a perfect spot to explore the city in a typical Victorian terraced house in Notting Hill. Guests can enjoy free Wi-Fi, luggage storage, towel rental, basic laundry service and CCTV for security.",9.5,Superb,969,5.39,€,25.48,66.38
https://www.hostelworld.com/st/hostels/p/314563/destinations-hostels-the-gallery/,Destinations Hostels @ The Gallery,"Destinations Hostels @ The Gallery is 10min walk from the Tate Britain museum. 15 mins walk from Big Ben, Westminster Abbey, the London Eye and Buckingham palace and 20mins from Trafalgar square.",9.2,Superb,248,1.72,€,40.46,34.68
https://www.hostelworld.com/st/hostels/p/6981/yha-london-earls-court/,YHA London Earls Court,"YHA London Earl's Court offers a convenient base for exploring London with easy access to Heathrow and Gatwick, as well as nearby attractions like the Royal Albert Hall, Natural History Museum",9.2,Superb,1472,5.14,€,28.9,19.27
https://www.hostelworld.com/st/hostels/p/64746/barmy-badger-backpackers/,Barmy Badger Backpackers,"The Badger features 2 dogs, complimentary breakfast, 120 megabyte WiFi, USB ports in all rooms, personal lockers with laptop safety, tea and coffee all day, bbq and garden access, luggage storage",9.0,Superb,2000,5.51,€,28.9,46.53
https://www.hostelworld.com/st/hostels/p/88047/wombat-s-city-hostel-london/,Wombat's City Hostel London,"Our Wombat's City Hostel is located in the London Borough of Tower Hamlets, right next to the famous Tower Bridge and Tower of London, charming markets, authentic pubs and many other places of historical interest.",9.0,Fabulous,15459,3.57,€,39.89,39.89
